fousa_ios-air-rivet,LSR,null,,
gaillysu_ios-drone,OPR,null,,
gaillysu_ios-nevo,FPI,null,,
Genosis-Inc_Muse,MUS,null,,
ggould75_Mazes,N,null,,
gtaban_Kitura-CredentialsHTTP,OPR,null,,
GuoweiMO_Qashio,QS,null,,
guoweimo_SwipeApp,SW,null,,
headinthebox_plrelational,EBS,null,,
hebertialmeida_RocketData,SR,null,,
heteddy_Server,AI,null,,
homee-engineering_SlidableImage,QT,null,,
hpsony94_vialer-ios,AI,null,,
Hxucaa_Z,ALW,null,,
hyuni_FunctionalKit,FPI,null,,
ifabijanovic_swift-sdk,HMI,null,,
iwabuchiken_xcode,D,,,
jaimearanaz_numberpedia-ios,NAP,,,
jaimeat1_flip_ios,FLP,,,
jankase_JKJSON,MOBILE,,,
JasonQQ_spark-ios-sdk,CI,,,
JonMercer_pollingapp,AI,,,
joshccc_inkcluded,INK,,,
JoshFair_MOB-DC-04,SR,,,
jtbh89_fitpay-ios-sdk,AI,,,
justineseastres_roomguru,IOS,,,
jyuhuan_Lazy,IOS,,,
jzxyouok_ios-video-maker,HMI,,,
KaiP-598_Lingo,AI,,,
kieferyap_budget-bunny,ACC,,,
kievu_TusenTac,MOB,,,
knetikmedia_iOS-SDK,JSAPI,,,
konexios_konexios-sdk-ios,KR,,,
Koredotcom_iOS-kore-sdk,MON,,,
laus102_algolytics,UTF,,,
lisandro_mybus-ios,APP,,,
LoganWright_vapor-curassow,RFC,,,
ManuelAurora_Marshroute,AI,,,
marcfeather_ios-streaming-testbed,POS,,,
marcofanciulli_GrandCentralBoard,FEM,,,
MarkSaravi_QuadcopterRemoteControl,ZIOS,,,
marosoaie_SwiftyStateMachine,PLAT,https://openedx.atlassian.net/jira/software/c/projects/PLAT/,,
matthewbelisle-wf_w-mobile-kit,BG,,,
michaelkm03_Fastlane,AS,,,
mickstevens_video-quickstart-swift,ISDK,,,
Milieucitiesrepo_Milieu,SE,,,
mobileappscloud_Profile,CRI,,,
Mobilette_AniMee,ALW,,,
mobi-robert_jenkins-ios,JENIOS,,,
Modeso_MSideMenu,MMA,,,
Mohammad103_Gold-s-Gym,AND,,,
Mor4eza_iosSample,SABADBAN,,,
moysklad_ios-remap-sdk,AI,,,
mspviraj_safedrive-mac-app,HMI,,,
mstauff_cwf-ios,FF,,,
mussscat_APOD,APOD,,,
nab0y4enko_AirMapSDK-Swift,MOBILE,,,
nagyistge_neblina-swift,FEM,,,
navarionek_inbbbox-ios,BRIDGE,,,
NDV-Lab_verify-ios-sdk,IOS,,,
newScanTron_mendeleykit,IOS,,,
nikita-leonov_boss,APP,,,
nikolay-dementiev_Pets_Feeding,TG,,,
notohiro_NowCastMapView,AME,,,
NozeIO_Noze.io,SR,,,
NRHCowarT_BrawlingGame,OS,,,
OathAdPlatforms_OneMobileSDK-playground-ios,AOMSDK,,,
okunoyuki_auth-swift,LSI,,,
open-eid_MOPP-iOS,AI,,,
opudrovs_SampleTableViewJSON,HMI,,,
PAMFInnovation_bees-knees,LSR,,,
patriziopezzilli_FantAsta,FA,,,
paulomslima_orchextra-ios-sdk,FEM,,,
piyusman_sw,ZSP,,,
pk-codebox-evo_os-proj-collab-exoplatform--exo-exo-ios,DI,,,
pombredanne_Screenotate,UTF,,,
priya88_DummyTest,DUM,,,
QuickBlox_sample-chat-parse-ios,CRI,,,
raph714_e3db-swift,DB,,,
red5pro_streaming-ios,MOBILE,,,
ReinaldoRodriguezPalacio_wmdemo,CRI,,,
relayrides_objective-c-sdk,ACC,,,
renpen_SimpleHabits,EXP,,,
ReseauEntourage_entourage-ios,EMA,,,
reuvenlevitsky_playkit-ios-kava,GCB,,,
robfeldmann_YapDatabaseExtensions,CI,,,
rreballos_foresee-sdk-ios-samples,IPA,,,
ruddct_MOB-NYC-2,IOS,,,
Russiee_TourablePublic,AI,,,
rwyant_MOB-DC-3,DC,,,
Ryce_JudoKit,JR,,,
S2dentik_playkit-ios,FEM,,,
sanginfolbs_APPSTUD-Placefinder,APPSTUD,,,
SaraMukali_FloatingActionButtonLibrary,MCC,,,
savoirfairelinux_ring-client-ios,SHA,,,
scharpentier_meet-swift,IOS,,,
SebastianOsinski_let-swift-app,D,,,
sei2001_EasyPeasy,ISSUE,,,
shaanen_macos,EDUVPNMAC,,,
shahzadmajeed_Spectre,SNAPSHOT,,,
ShankarMbF_savio,DX,,,
SimasPay_IPOS-SMP,SMP,,,
SnapXEats_SnapXEats-iOS,MLIBZ,,,
solochenmin_Wawaji,ADT,,,
soniaruska_MOB-DC-01,DC,,,
soracom_soracom-sdk-swift,UTF,,,
ssucharitdas_appconnect-ios,HMI,,,
stefanrenne_AutoMate,PAI,,,
steffsan_VaporGCM,IPA,,,
streamuk-joe_playkit-ios-samples,LMW,,,
stuartbreckenridge_FFI-List-Creator,FCL,,,
SuperAwesomeLTD_pj-ios-ui,KWS,,,
superman-coder_pakr,AND,,,
supernervous_mojio-ios-sdk,MB,,,
svetliohshs_aerogear-ios-http,AGIOS,,,
SwiftArchitect_SO-32341629,MME,,,
SwiftyGuerrero_PicksApp-SportsScrapper,PICKS,,,
swong101_cpe-manifest-ios-data,APPDEV,,,
syoung-smallwisdom_Smart4SURE,LSR,,,
talezion_7pass-ios-sdk,CTFUSERMGT,,,
tanhakabir_Spotlight,LEARNER,,,
tapan-paul_algorithms,ASS,,,
tdgunes_socivy-carpool,SOC,,,
techwinlabs_iDecide4u,TAY,,,
teodorpenkov-primeholding_WalletCoreiOS,LMW,,,
thedistance_TheDistanceForms,CPF,,,
ThePowerOfSwift_Multy-IOS,MUL,,,
thetopplayer_PicShare,PSRAK,,,
thinkstationJump_14-02--1019RAC-02-RAC--RACCommand-,RAC,,,
TruckMuncher_TruckMuncher-iOS,IOS,,,
UAF-CS-Capstone-DOTlog_DOTlog_iOS,DAL,,,
ubclaunchpad_RocketCast,BA,,,
UKDanceBlue_Mobile-iOS,IOS,,,
UKFast-Mobile_Weather-Alert-Test,WAI,,,
unablys_swift-api,MOBILE,,,
uniblockchain_WirexUtils,QBIOSSDK,,,
UnnikrishnanBhargavakurup_qordoba-cli,IOS,,,
urbn_URBNSwiftAlert,WL,,,
usamabinattique_ApplozicSwift,AL,,,
VasylKo_GitHubRESTAPITestProject,FPI,,,
vdka_NSGA-Swift,SNAPSHOT,,,
Vidazoo_bluesnap-ios,AI,,,
vitalii-tym_traffic,BRIDGE,,,
volodg_iAsync.cache,OPR,,,
volodg_iAsync.reactiveKit,XLIOS,,,
volodg_iAsync.restkit,IOS,,,
vzhou842_COS-333-Project,SR,,,
wajeeha-khalid_McKA-iOS,IOS,,,
warnerbros_cpe-manifest-ios-experience,LMW,,,
WeirdMath_SwiftyHaru,SR,,,
wstejka_CheckFP,BG,,,
wstejka_MobileFunTemplate1,APPDEV,,,
yanif_circator,IOS,,,
yonadev_yona-app-ios,APPDEV,,,
Yooii-Studios_Swish-iOS,BRIDGE,,,
yramanchuk_SmartFeed,IOS,,,
yulu_visearch-widget-swift,CI,,,
yutmr_Refresher,SE,,,
Zaprogramiacz_ATS-iOS,EXP,,,
zeroshad0w_BaseApp-iOS,BA,,,
Zewo_Curvature,SNAPSHOT,,,
zs40x_PersonalProductivityAssistant,PPA,,,
,,,,
,,,,
,,,,
,,https://jira.catrob.at/projects/MUS,https://github.com/Catrobat/Musicdroid.git,java
,,https://jira.catrob.at/projects/ATLDEV,https://github.com/Catrobat/Timesheet.git,"java, js"
,,https://jira.catrob.at/projects/BLOCKS,https://github.com/Catrobat/Catblocks.git,js
,,https://jira.catrob.at/projects/CATROID,https://github.com/Catrobat/Catroid.git,java
,,https://jira.catrob.at/projects/PAINTROID,https://github.com/Catrobat/Paintroid.git,java
,,https://jira.catrob.at/projects/STCC,https://github.com/Catrobat/ScratchToCatrobat.git,py
